epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,37629.8,0.61207,1.13078,0.50136,1.09143,0,0.95375,0.93496,0.95657,0.86039,0.95253,0.93221,0.95488,0.86924,0.4488,0.80668,0.40246,0.96279,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,39071.1,0.61616,1.11222,0.50447,1.08878,0,0.95327,0.93038,0.96539,0.86735,0.95352,0.92705,0.95929,0.87504,0.44716,0.81675,0.33973,0.96069,0,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,40539.9,0.61244,1.06756,0.50563,1.08824,0,0.95788,0.93043,0.96821,0.87886,0.95942,0.92824,0.96324,0.88251,0.42896,0.79875,0.31359,0.94036,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,42155.4,0.61488,1.10294,0.50112,1.08614,0,0.94461,0.93374,0.96523,0.87002,0.94107,0.93126,0.96193,0.87246,0.44735,0.83859,0.3266,0.96307,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,43445.9,0.59936,1.08881,0.49088,1.07561,0,0.96321,0.92729,0.96749,0.8757,0.96257,0.92668,0.96422,0.88086,0.44165,0.81799,0.31948,0.94928,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,44633.5,0.59454,1.04535,0.48144,1.07804,0,0.95465,0.92561,0.96651,0.87748,0.95434,0.92427,0.96193,0.88181,0.44057,0.84067,0.31259,0.95509,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,45874.7,0.59711,1.05436,0.48711,1.07149,0,0.95811,0.93435,0.96926,0.87497,0.95883,0.93166,0.96472,0.88325,0.44029,0.76826,0.30422,0.95334,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,47240.4,0.5932,1.0383,0.48751,1.07054,0,0.95172,0.93907,0.97051,0.88637,0.95049,0.93801,0.96575,0.88947,0.42274,0.81204,0.29925,0.93977,0,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,48582,0.57833,1.01023,0.47699,1.06205,0,0.94635,0.93176,0.96787,0.88036,0.94765,0.93191,0.96676,0.8886,0.42334,0.78072,0.31794,0.94229,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,50086.9,0.58152,1.04369,0.47454,1.06313,0,0.93964,0.94595,0.96959,0.8799,0.9484,0.93863,0.96803,0.88715,0.43374,0.76984,0.31134,0.9434,0,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,51333.9,0.57832,1.01515,0.47294,1.06205,0,0.95345,0.9444,0.96967,0.88742,0.95127,0.94173,0.96347,0.88868,0.41984,0.84057,0.29615,0.93897,0,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,52695.7,0.57777,1.04127,0.48082,1.06189,0,0.95238,0.94076,0.97127,0.88009,0.95205,0.93975,0.96717,0.88479,0.42075,0.8198,0.29728,0.93983,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,53583.8,0.57424,1.00328,0.46357,1.06529,0,0.95386,0.94047,0.97012,0.88776,0.96339,0.93209,0.96792,0.89103,0.40832,0.77964,0.28615,0.92691,0,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,55103.7,0.57611,1.01627,0.46433,1.06453,0,0.95492,0.93778,0.96983,0.88866,0.9546,0.93727,0.96577,0.89371,0.41472,0.7798,0.29263,0.92568,0,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,56512.2,0.57606,1.0268,0.46229,1.06157,0,0.95847,0.93863,0.97044,0.88818,0.96349,0.93527,0.96759,0.89713,0.41233,0.73545,0.29039,0.93377,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,57756.6,0.5826,1.00478,0.47087,1.06507,0,0.94996,0.93907,0.97017,0.88121,0.9478,0.93693,0.96373,0.88804,0.42083,0.76391,0.2975,0.94283,0,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,59079.7,0.57553,0.99537,0.4626,1.06372,0,0.96113,0.93496,0.97264,0.89171,0.95987,0.93374,0.96879,0.89611,0.40968,0.75816,0.29338,0.93926,0,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,60513,0.57068,1.00906,0.45933,1.05601,0,0.95951,0.93344,0.97036,0.89104,0.95951,0.93344,0.96731,0.89303,0.40759,0.77153,0.28654,0.9325,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,62037.2,0.56715,0.98184,0.45164,1.05505,0,0.96481,0.9375,0.97016,0.89044,0.96553,0.9374,0.96778,0.89232,0.40251,0.75168,0.28277,0.92773,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,63307.2,0.56278,0.97264,0.4464,1.05423,0,0.95925,0.94153,0.96961,0.88621,0.95756,0.93924,0.96297,0.88995,0.40683,0.80388,0.28141,0.9253,0,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,64664.4,0.55952,0.98537,0.44858,1.0494,0,0.9721,0.93038,0.97041,0.89189,0.97146,0.92977,0.96799,0.89953,0.40914,0.74508,0.28693,0.92538,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,66090.4,0.56036,0.98311,0.44953,1.04954,0,0.96626,0.9356,0.9707,0.89273,0.96594,0.9353,0.96897,0.89889,0.41066,0.76102,0.28575,0.92582,0,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,67410.2,0.55625,0.94733,0.44076,1.04822,0,0.96077,0.93924,0.96915,0.88928,0.95959,0.94046,0.96516,0.89299,0.40743,0.75365,0.28543,0.92021,0,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,68440.3,0.5604,0.97842,0.44285,1.049,0,0.96394,0.94107,0.97045,0.89326,0.96274,0.93985,0.96693,0.89436,0.39705,0.7776,0.2757,0.91973,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,69646.4,0.55737,0.99086,0.44798,1.04564,0,0.95252,0.94343,0.97174,0.89433,0.95367,0.94168,0.97005,0.89899,0.40167,0.72679,0.27378,0.91987,0,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,71041.8,0.54949,0.96605,0.43718,1.04535,0,0.96192,0.94229,0.9702,0.89108,0.95974,0.93902,0.963,0.89275,0.40199,0.74794,0.2787,0.92648,0,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,72572.1,0.55101,0.94105,0.44555,1.04098,0,0.96726,0.93809,0.97144,0.89208,0.96361,0.93252,0.96141,0.8897,0.40771,0.77552,0.27139,0.92895,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,73768,0.5519,0.94492,0.44316,1.04224,0,0.96564,0.93802,0.969,0.89044,0.96479,0.93588,0.96431,0.89116,0.40319,0.74047,0.2773,0.92087,0,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,75023.5,0.54778,0.93532,0.43712,1.04438,0,0.95717,0.9426,0.97146,0.89832,0.95523,0.94076,0.96695,0.89584,0.39566,0.73308,0.26597,0.91866,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,76603.8,0.54,0.94447,0.43044,1.03852,0,0.96469,0.94046,0.97151,0.89714,0.96388,0.93832,0.96552,0.89184,0.3896,0.74159,0.26758,0.9064,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,77955.6,0.54793,0.96497,0.43665,1.04517,0,0.96424,0.93832,0.97166,0.89886,0.95986,0.9345,0.96333,0.89766,0.39486,0.74658,0.27426,0.91617,0,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,79183.3,0.54423,0.91682,0.43103,1.04393,0,0.96414,0.94423,0.96969,0.89633,0.96076,0.94015,0.96263,0.89148,0.39443,0.76193,0.26984,0.9141,0,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,80828.3,0.54021,0.93865,0.43124,1.04052,0,0.96277,0.93832,0.97155,0.90279,0.96367,0.93134,0.96317,0.89844,0.38192,0.72073,0.26379,0.90509,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,82550.1,0.54582,0.92371,0.43603,1.0423,0,0.96482,0.94615,0.97357,0.90394,0.96628,0.9362,0.96578,0.90143,0.38383,0.72569,0.25528,0.90485,0,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,85299.6,0.53996,0.87552,0.42095,1.03586,0,0.96418,0.9487,0.97179,0.90003,0.9606,0.94443,0.96434,0.89728,0.39053,0.76213,0.25783,0.91327,0,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,86936.4,0.53616,0.90824,0.42733,1.0375,0,0.95919,0.94734,0.97483,0.90815,0.9663,0.93677,0.97127,0.90652,0.38879,0.70422,0.26512,0.9125,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,88862.7,0.54636,0.90447,0.43611,1.04799,0,0.96866,0.94229,0.97315,0.90155,0.96584,0.93954,0.96607,0.90155,0.39232,0.7256,0.26079,0.91884,0,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,91302.6,0.53534,0.91347,0.42114,1.04029,0,0.96861,0.94219,0.97423,0.90449,0.96358,0.9372,0.96559,0.90347,0.38614,0.73063,0.2649,0.91518,0,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,93709.1,0.53143,0.88225,0.42209,1.03529,0,0.96854,0.94005,0.97189,0.89994,0.96307,0.93557,0.96038,0.89487,0.39276,0.7502,0.2662,0.91759,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,96022.7,0.53247,0.88038,0.42466,1.03219,0,0.96502,0.94443,0.97345,0.90503,0.96098,0.94002,0.96306,0.9008,0.38379,0.75944,0.2585,0.90881,0,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,97987,0.53773,0.86513,0.42031,1.03272,0,0.96098,0.94754,0.97477,0.90504,0.9585,0.94509,0.96787,0.90241,0.38,0.71453,0.2513,0.9095,0,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,100362,0.53361,0.86638,0.41886,1.03337,0,0.96627,0.94482,0.97356,0.90889,0.96249,0.94026,0.96508,0.9023,0.37659,0.73468,0.25124,0.90193,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,102179,0.52855,0.8883,0.41568,1.02852,0,0.96903,0.94412,0.97334,0.90833,0.96492,0.94015,0.9642,0.90019,0.37375,0.72371,0.24508,0.90084,0,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
